Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
$$CASH_TX,,,,,,,,,20250125,,5257.87,,,,Yahoo Finance,DEPOSIT
PAXG-USD,,,,,,,,,20240615,4309.01,0.3765,,,,Yahoo Finance,BUY
IGLN.L,,,,,,,,,20240710,74.26,18,,,,Yahoo Finance,BUY
VGIT,,,,,,,,,20240620,59.59,15,,,,Yahoo Finance,BUY
VGEU.DE,,,,,,,,,20240605,42.66,14,,,,Yahoo Finance,BUY
BTC-USD,,,,,,,,,20231215,95394.67,0.01424,,,,Yahoo Finance,BUY
ETH-USD,,,,,,,,,20240108,2597.81,0.28777,,,,Yahoo Finance,BUY
SPLG,,,,,,,,,20240110,68.20,13,,,,Yahoo Finance,BUY
SCHD,,,,,,,,,20241215,27.56,58,,,,Yahoo Finance,BUY
